season,date,home,away,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red
1928/29,1929-02-10,Arenas de Getxo,Atletico Madrid,2,3,,,,,,,,,,,,,,
1928/29,1929-02-10,Espanyol Barcelona,Real Union,3,2,,,,,,,,,,,,,,
1928/29,1929-02-10,Real Madrid,CE Europa,5,0,,,,,,,,,,,,,,
1928/29,1929-02-10,Real Sociedad,Athletic Bilbao,1,1,,,,,,,,,,,,,,
1928/29,1929-02-12,Racing Santander,FC Barcelona,0,2,,,,,,,,,,,,,,
1928/29,1929-02-17,Athletic Bilbao,Espanyol Barcelona,9,0,,,,,,,,,,,,,,
1928/29,1929-02-17,Atletico Madrid,Real Sociedad,0,3,,,,,,,,,,,,,,
1928/29,1929-02-17,CE Europa,Arenas de Getxo,5,2,,,,,,,,,,,,,,
1928/29,1929-02-17,FC Barcelona,Real Madrid,1,2,,,,,,,,,,,,,,
1928/29,1929-02-17,Real Union,Racing Santander,3,1,,,,,,,,,,,,,,
1928/29,1929-02-24,Arenas de Getxo,Real Union,1,1,,,,,,,,,,,,,,
1928/29,1929-02-24,Espanyol Barcelona,CE Europa,3,1,,,,,,,,,,,,,,
1928/29,1929-02-24,Racing Santander,Athletic Bilbao,0,4,,,,,,,,,,,,,,
1928/29,1929-02-24,Real Madrid,Atletico Madrid,2,1,,,,,,,,,,,,,,
1928/29,1929-02-24,Real Sociedad,FC Barcelona,3,0,,,,,,,,,,,,,,
1928/29,1929-03-03,Athletic Bilbao,CE Europa,2,0,,,,,,,,,,,,,,
1928/29,1929-03-03,Espanyol Barcelona,Racing Santander,3,0,,,,,,,,,,,,,,
1928/29,1929-03-03,FC Barcelona,Arenas de Getxo,2,2,,,,,,,,,,,,,,
1928/29,1929-03-03,Real Madrid,Real Sociedad,2,1,,,,,,,,,,,,,,
1928/29,1929-03-03,Real Union,Atletico Madrid,1,2,,,,,,,,,,,,,,
1928/29,1929-03-10,Arenas de Getxo,Athletic Bilbao,1,0,,,,,,,,,,,,,,
1928/29,1929-03-10,Atletico Madrid,FC Barcelona,4,1,,,,,,,,,,,,,,
1928/29,1929-03-10,CE Europa,Real Union,3,3,,,,,,,,,,,,,,
1928/29,1929-03-10,Racing Santander,Real Madrid,1,3,,,,,,,,,,,,,,
1928/29,1929-03-10,Real Sociedad,Espanyol Barcelona,1,1,,,,,,,,,,,,,,
1928/29,1929-03-24,Arenas de Getxo,Real Sociedad,3,0,,,,,,,,,,,,,,
1928/29,1929-03-24,Atletico Madrid,Racing Santander,4,0,,,,,,,,,,,,,,
1928/29,1929-03-24,Espanyol Barcelona,Real Madrid,4,0,,,,,,,,,,,,,,
1928/29,1929-03-24,FC Barcelona,CE Europa,5,2,,,,,,,,,,,,,,
1928/29,1929-03-24,Real Union,Athletic Bilbao,6,3,,,,,,,,,,,,,,
1928/29,1929-03-31,Athletic Bilbao,FC Barcelona,5,1,,,,,,,,,,,,,,
1928/29,1929-03-31,CE Europa,Atletico Madrid,4,1,,,,,,,,,,,,,,
1928/29,1929-03-31,Espanyol Barcelona,Arenas de Getxo,1,2,,,,,,,,,,,,,,
1928/29,1929-03-31,Real Madrid,Real Union,2,0,,,,,,,,,,,,,,
1928/29,1929-03-31,Real Sociedad,Racing Santander,8,1,,,,,,,,,,,,,,
1928/29,1929-04-07,Arenas de Getxo,Real Madrid,3,2,,,,,,,,,,,,,,
1928/29,1929-04-07,Atletico Madrid,Athletic Bilbao,2,3,,,,,,,,,,,,,,
1928/29,1929-04-07,FC Barcelona,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
1928/29,1929-04-07,Racing Santander,CE Europa,3,2,,,,,,,,,,,,,,
1928/29,1929-04-07,Real Union,Real Sociedad,2,3,,,,,,,,,,,,,,
1928/29,1929-04-21,Arenas de Getxo,Racing Santander,2,1,,,,,,,,,,,,,,
1928/29,1929-04-21,CE Europa,Real Sociedad,4,3,,,,,,,,,,,,,,
1928/29,1929-04-21,Espanyol Barcelona,Atletico Madrid,3,2,,,,,,,,,,,,,,
1928/29,1929-04-21,Real Madrid,Athletic Bilbao,5,1,,,,,,,,,,,,,,
1928/29,1929-04-21,Real Union,FC Barcelona,1,2,,,,,,,,,,,,,,
1928/29,1929-04-28,Athletic Bilbao,Real Sociedad,4,2,,,,,,,,,,,,,,
1928/29,1929-04-28,Atletico Madrid,Arenas de Getxo,1,2,,,,,,,,,,,,,,
1928/29,1929-04-28,CE Europa,Real Madrid,5,2,,,,,,,,,,,,,,
1928/29,1929-04-28,FC Barcelona,Racing Santander,5,1,,,,,,,,,,,,,,
1928/29,1929-04-28,Real Union,Espanyol Barcelona,4,3,,,,,,,,,,,,,,
1928/29,1929-05-05,Arenas de Getxo,CE Europa,2,2,,,,,,,,,,,,,,
1928/29,1929-05-05,Espanyol Barcelona,Athletic Bilbao,4,1,,,,,,,,,,,,,,
1928/29,1929-05-05,Racing Santander,Real Union,1,3,,,,,,,,,,,,,,
1928/29,1929-05-09,CE Europa,Espanyol Barcelona,0,3,,,,,,,,,,,,,,
1928/29,1929-05-09,Real Madrid,FC Barcelona,0,1,,,,,,,,,,,,,,
1928/29,1929-05-09,Real Sociedad,Atletico Madrid,3,3,,,,,,,,,,,,,,
1928/29,1929-05-12,Athletic Bilbao,Racing Santander,0,0,,,,,,,,,,,,,,
1928/29,1929-05-12,Real Union,Arenas de Getxo,7,1,,,,,,,,,,,,,,
1928/29,1929-05-19,Atletico Madrid,Real Union,3,1,,,,,,,,,,,,,,
1928/29,1929-05-19,Real Sociedad,Real Madrid,5,4,,,,,,,,,,,,,,
1928/29,1929-05-26,Athletic Bilbao,Arenas de Getxo,2,3,,,,,,,,,,,,,,
1928/29,1929-05-26,Espanyol Barcelona,Real Sociedad,1,1,,,,,,,,,,,,,,
1928/29,1929-05-26,FC Barcelona,Atletico Madrid,4,0,,,,,,,,,,,,,,
1928/29,1929-05-26,Real Madrid,Racing Santander,2,2,,,,,,,,,,,,,,
1928/29,1929-05-26,Real Union,CE Europa,2,3,,,,,,,,,,,,,,
1928/29,1929-05-30,Atletico Madrid,Real Madrid,0,3,,,,,,,,,,,,,,
1928/29,1929-05-30,CE Europa,Athletic Bilbao,1,1,,,,,,,,,,,,,,
1928/29,1929-05-30,FC Barcelona,Real Sociedad,1,0,,,,,,,,,,,,,,
1928/29,1929-05-30,Racing Santander,Espanyol Barcelona,1,1,,,,,,,,,,,,,,
1928/29,1929-06-02,Athletic Bilbao,Real Union,2,1,,,,,,,,,,,,,,
1928/29,1929-06-02,CE Europa,FC Barcelona,1,1,,,,,,,,,,,,,,
1928/29,1929-06-02,Racing Santander,Atletico Madrid,1,2,,,,,,,,,,,,,,
1928/29,1929-06-02,Real Madrid,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1928/29,1929-06-02,Real Sociedad,Arenas de Getxo,3,2,,,,,,,,,,,,,,
1928/29,1929-06-09,Arenas de Getxo,Espanyol Barcelona,3,0,,,,,,,,,,,,,,
1928/29,1929-06-09,Atletico Madrid,CE Europa,5,4,,,,,,,,,,,,,,
1928/29,1929-06-09,FC Barcelona,Athletic Bilbao,3,0,,,,,,,,,,,,,,
1928/29,1929-06-09,Racing Santander,Real Sociedad,6,1,,,,,,,,,,,,,,
1928/29,1929-06-09,Real Union,Real Madrid,0,2,,,,,,,,,,,,,,
1928/29,1929-06-16,Athletic Bilbao,Atletico Madrid,3,3,,,,,,,,,,,,,,
1928/29,1929-06-16,CE Europa,Racing Santander,4,1,,,,,,,,,,,,,,
1928/29,1929-06-16,Espanyol Barcelona,FC Barcelona,1,1,,,,,,,,,,,,,,
1928/29,1929-06-16,Real Madrid,Arenas de Getxo,2,0,,,,,,,,,,,,,,
1928/29,1929-06-16,Real Sociedad,Real Union,3,2,,,,,,,,,,,,,,
1928/29,1929-06-23,Athletic Bilbao,Real Madrid,2,0,,,,,,,,,,,,,,
1928/29,1929-06-23,Atletico Madrid,Espanyol Barcelona,7,1,,,,,,,,,,,,,,
1928/29,1929-06-23,FC Barcelona,Real Union,4,1,,,,,,,,,,,,,,
1928/29,1929-06-23,Racing Santander,Arenas de Getxo,5,1,,,,,,,,,,,,,,
1928/29,1929-06-23,Real Sociedad,CE Europa,5,4,,,,,,,,,,,,,,
1928/29,1929-06-30,Arenas de Getxo,FC Barcelona,0,2,,,,,,,,,,,,,,
1929/30,1929-12-01,Athletic Bilbao,Real Madrid,2,1,,,,,,,,,,,,,,
1929/30,1929-12-01,Atletico Madrid,CE Europa,5,3,,,,,,,,,,,,,,
1929/30,1929-12-01,FC Barcelona,Real Sociedad,3,0,,,,,,,,,,,,,,
1929/30,1929-12-01,Racing Santander,Espanyol Barcelona,4,1,,,,,,,,,,,,,,
1929/30,1929-12-01,Real Union,Arenas de Getxo,3,2,,,,,,,,,,,,,,
1929/30,1929-12-08,Arenas de Getxo,FC Barcelona,1,3,,,,,,,,,,,,,,
1929/30,1929-12-08,CE Europa,Athletic Bilbao,2,2,,,,,,,,,,,,,,
1929/30,1929-12-08,Espanyol Barcelona,Atletico Madrid,1,0,,,,,,,,,,,,,,
1929/30,1929-12-08,Real Madrid,Real Union,2,2,,,,,,,,,,,,,,
1929/30,1929-12-08,Real Sociedad,Racing Santander,7,0,,,,,,,,,,,,,,
1929/30,1929-12-15,Athletic Bilbao,Real Sociedad,2,2,,,,,,,,,,,,,,
1929/30,1929-12-15,Atletico Madrid,Real Madrid,2,1,,,,,,,,,,,,,,
1929/30,1929-12-15,FC Barcelona,CE Europa,2,1,,,,,,,,,,,,,,
1929/30,1929-12-15,Racing Santander,Arenas de Getxo,2,5,,,,,,,,,,,,,,
1929/30,1929-12-15,Real Union,Espanyol Barcelona,3,3,,,,,,,,,,,,,,
1929/30,1929-12-22,Arenas de Getxo,CE Europa,2,3,,,,,,,,,,,,,,
1929/30,1929-12-22,Atletico Madrid,Real Union,3,3,,,,,,,,,,,,,,
1929/30,1929-12-22,Espanyol Barcelona,Athletic Bilbao,2,2,,,,,,,,,,,,,,
1929/30,1929-12-22,FC Barcelona,Racing Santander,5,0,,,,,,,,,,,,,,
1929/30,1929-12-22,Real Sociedad,Real Madrid,4,0,,,,,,,,,,,,,,
1929/30,1929-12-29,Arenas de Getxo,Athletic Bilbao,3,3,,,,,,,,,,,,,,
1929/30,1929-12-29,CE Europa,Real Sociedad,3,2,,,,,,,,,,,,,,
1929/30,1929-12-29,Racing Santander,Atletico Madrid,3,2,,,,,,,,,,,,,,
1929/30,1929-12-29,Real Madrid,Espanyol Barcelona,2,4,,,,,,,,,,,,,,
1929/30,1929-12-29,Real Union,FC Barcelona,1,3,,,,,,,,,,,,,,
1929/30,1930-01-05,Athletic Bilbao,Real Union,5,2,,,,,,,,,,,,,,
1929/30,1930-01-05,FC Barcelona,Atletico Madrid,4,2,,,,,,,,,,,,,,
1929/30,1930-01-05,Real Madrid,Racing Santander,6,0,,,,,,,,,,,,,,
1929/30,1930-01-05,Real Sociedad,Arenas de Getxo,4,4,,,,,,,,,,,,,,
1929/30,1930-01-09,Espanyol Barcelona,CE Europa,1,2,,,,,,,,,,,,,,
1929/30,1930-01-12,Arenas de Getxo,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1929/30,1930-01-12,Atletico Madrid,Real Sociedad,1,1,,,,,,,,,,,,,,
1929/30,1930-01-12,CE Europa,Real Madrid,1,2,,,,,,,,,,,,,,
1929/30,1930-01-12,FC Barcelona,Athletic Bilbao,1,1,,,,,,,,,,,,,,
1929/30,1930-01-12,Real Union,Racing Santander,6,3,,,,,,,,,,,,,,
1929/30,1930-01-19,Athletic Bilbao,Atletico Madrid,6,1,,,,,,,,,,,,,,
1929/30,1930-01-19,Espanyol Barcelona,FC Barcelona,4,0,,,,,,,,,,,,,,
1929/30,1930-01-19,Racing Santander,CE Europa,6,0,,,,,,,,,,,,,,
1929/30,1930-01-19,Real Madrid,Arenas de Getxo,5,2,,,,,,,,,,,,,,
1929/30,1930-01-19,Real Sociedad,Real Union,2,3,,,,,,,,,,,,,,
1929/30,1930-01-26,Athletic Bilbao,Racing Santander,4,0,,,,,,,,,,,,,,
1929/30,1930-01-26,Atletico Madrid,Arenas de Getxo,1,3,,,,,,,,,,,,,,
1929/30,1930-01-26,CE Europa,Real Union,0,1,,,,,,,,,,,,,,
1929/30,1930-01-26,FC Barcelona,Real Madrid,1,4,,,,,,,,,,,,,,
1929/30,1930-01-26,Real Sociedad,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
1929/30,1930-02-02,Arenas de Getxo,Real Union,7,2,,,,,,,,,,,,,,
1929/30,1930-02-02,CE Europa,Atletico Madrid,2,0,,,,,,,,,,,,,,
1929/30,1930-02-02,Espanyol Barcelona,Racing Santander,3,0,,,,,,,,,,,,,,
1929/30,1930-02-02,Real Madrid,Athletic Bilbao,2,3,,,,,,,,,,,,,,
1929/30,1930-02-02,Real Sociedad,FC Barcelona,1,2,,,,,,,,,,,,,,
1929/30,1930-02-09,Athletic Bilbao,CE Europa,3,0,,,,,,,,,,,,,,
1929/30,1930-02-09,FC Barcelona,Arenas de Getxo,3,1,,,,,,,,,,,,,,
1929/30,1930-02-09,Racing Santander,Real Sociedad,2,0,,,,,,,,,,,,,,
1929/30,1930-02-09,Real Union,Real Madrid,2,2,,,,,,,,,,,,,,
1929/30,1930-02-12,Atletico Madrid,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1929/30,1930-02-16,Arenas de Getxo,Racing Santander,5,1,,,,,,,,,,,,,,
1929/30,1930-02-16,CE Europa,FC Barcelona,0,3,,,,,,,,,,,,,,
1929/30,1930-02-16,Espanyol Barcelona,Real Union,3,1,,,,,,,,,,,,,,
1929/30,1930-02-16,Real Madrid,Atletico Madrid,4,1,,,,,,,,,,,,,,
1929/30,1930-02-16,Real Sociedad,Athletic Bilbao,1,7,,,,,,,,,,,,,,
1929/30,1930-02-23,Athletic Bilbao,Espanyol Barcelona,6,0,,,,,,,,,,,,,,
1929/30,1930-02-23,CE Europa,Arenas de Getxo,1,2,,,,,,,,,,,,,,
1929/30,1930-02-23,Racing Santander,FC Barcelona,2,1,,,,,,,,,,,,,,
1929/30,1930-02-23,Real Madrid,Real Sociedad,1,1,,,,,,,,,,,,,,
1929/30,1930-02-23,Real Union,Atletico Madrid,8,2,,,,,,,,,,,,,,
1929/30,1930-03-02,Athletic Bilbao,Arenas de Getxo,5,2,,,,,,,,,,,,,,
1929/30,1930-03-02,Atletico Madrid,Racing Santander,3,1,,,,,,,,,,,,,,
1929/30,1930-03-02,Real Sociedad,CE Europa,2,0,,,,,,,,,,,,,,
1929/30,1930-03-05,Espanyol Barcelona,Real Madrid,8,1,,,,,,,,,,,,,,
1929/30,1930-03-05,FC Barcelona,Real Union,4,2,,,,,,,,,,,,,,
1929/30,1930-03-09,Arenas de Getxo,Real Sociedad,3,1,,,,,,,,,,,,,,
1929/30,1930-03-09,Atletico Madrid,FC Barcelona,3,2,,,,,,,,,,,,,,
1929/30,1930-03-09,CE Europa,Espanyol Barcelona,1,2,,,,,,,,,,,,,,
1929/30,1930-03-09,Racing Santander,Real Madrid,2,0,,,,,,,,,,,,,,
1929/30,1930-03-09,Real Union,Athletic Bilbao,1,1,,,,,,,,,,,,,,
1929/30,1930-03-16,Athletic Bilbao,FC Barcelona,4,3,,,,,,,,,,,,,,
1929/30,1930-03-16,Espanyol Barcelona,Arenas de Getxo,1,0,,,,,,,,,,,,,,
1929/30,1930-03-16,Racing Santander,Real Union,4,2,,,,,,,,,,,,,,
1929/30,1930-03-16,Real Madrid,CE Europa,6,1,,,,,,,,,,,,,,
1929/30,1930-03-16,Real Sociedad,Atletico Madrid,2,0,,,,,,,,,,,,,,
1929/30,1930-03-22,CE Europa,Racing Santander,5,0,,,,,,,,,,,,,,
1929/30,1930-03-23,Arenas de Getxo,Real Madrid,5,1,,,,,,,,,,,,,,
1929/30,1930-03-23,Atletico Madrid,Athletic Bilbao,3,4,,,,,,,,,,,,,,
1929/30,1930-03-23,FC Barcelona,Espanyol Barcelona,5,4,,,,,,,,,,,,,,
1929/30,1930-03-23,Real Union,Real Sociedad,3,2,,,,,,,,,,,,,,
1929/30,1930-03-30,Arenas de Getxo,Atletico Madrid,2,1,,,,,,,,,,,,,,
1929/30,1930-03-30,Espanyol Barcelona,Real Sociedad,3,1,,,,,,,,,,,,,,
1929/30,1930-03-30,Racing Santander,Athletic Bilbao,2,3,,,,,,,,,,,,,,
1929/30,1930-03-30,Real Madrid,FC Barcelona,5,1,,,,,,,,,,,,,,
1929/30,1930-03-30,Real Union,CE Europa,3,4,,,,,,,,,,,,,,
1930/31,1930-12-07,Arenas de Getxo,Real Union,1,2,,,,,,,,,,,,,,
1930/31,1930-12-07,FC Barcelona,Athletic Bilbao,6,3,,,,,,,,,,,,,,
1930/31,1930-12-07,Racing Santander,CE Europa,2,1,,,,,,,,,,,,,,
1930/31,1930-12-07,Real Madrid,Espanyol Barcelona,2,0,,,,,,,,,,,,,,
1930/31,1930-12-07,Real Sociedad,CD Alaves,2,2,,,,,,,,,,,,,,
1930/31,1930-12-14,Athletic Bilbao,Real Sociedad,6,1,,,,,,,,,,,,,,
1930/31,1930-12-14,CD Alaves,Arenas de Getxo,3,2,,,,,,,,,,,,,,
1930/31,1930-12-14,CE Europa,FC Barcelona,2,2,,,,,,,,,,,,,,
1930/31,1930-12-14,Espanyol Barcelona,Racing Santander,4,1,,,,,,,,,,,,,,
1930/31,1930-12-21,Arenas de Getxo,Real Madrid,4,1,,,,,,,,,,,,,,
1930/31,1930-12-21,CD Alaves,Espanyol Barcelona,4,1,,,,,,,,,,,,,,
1930/31,1930-12-21,CE Europa,Real Union,2,1,,,,,,,,,,,,,,
1930/31,1930-12-21,Racing Santander,Athletic Bilbao,4,1,,,,,,,,,,,,,,
1930/31,1930-12-21,Real Sociedad,FC Barcelona,4,1,,,,,,,,,,,,,,
1930/31,1930-12-25,Real Madrid,CE Europa,3,1,,,,,,,,,,,,,,
1930/31,1930-12-28,Athletic Bilbao,CD Alaves,7,1,,,,,,,,,,,,,,
1930/31,1930-12-28,Espanyol Barcelona,Arenas de Getxo,5,0,,,,,,,,,,,,,,
1930/31,1930-12-28,FC Barcelona,Racing Santander,1,1,,,,,,,,,,,,,,
1930/31,1930-12-28,Real Union,Real Sociedad,2,4,,,,,,,,,,,,,,
1930/31,1931-01-04,Arenas de Getxo,FC Barcelona,5,0,,,,,,,,,,,,,,
1930/31,1931-01-04,CE Europa,Athletic Bilbao,2,1,,,,,,,,,,,,,,
1930/31,1931-01-04,Racing Santander,Real Sociedad,2,5,,,,,,,,,,,,,,
1930/31,1931-01-04,Real Madrid,CD Alaves,1,0,,,,,,,,,,,,,,
1930/31,1931-01-04,Real Union,Espanyol Barcelona,6,1,,,,,,,,,,,,,,
1930/31,1931-01-11,Athletic Bilbao,Arenas de Getxo,5,2,,,,,,,,,,,,,,
1930/31,1931-01-11,CD Alaves,Real Union,3,1,,,,,,,,,,,,,,
1930/31,1931-01-11,FC Barcelona,Espanyol Barcelona,6,2,,,,,,,,,,,,,,
1930/31,1931-01-11,Racing Santander,Real Madrid,3,0,,,,,,,,,,,,,,
1930/31,1931-01-11,Real Sociedad,CE Europa,3,1,,,,,,,,,,,,,,
1930/31,1931-01-18,Arenas de Getxo,Real Sociedad,1,3,,,,,,,,,,,,,,
1930/31,1931-01-18,CD Alaves,Racing Santander,2,5,,,,,,,,,,,,,,
1930/31,1931-01-18,Espanyol Barcelona,CE Europa,4,0,,,,,,,,,,,,,,
1930/31,1931-01-18,Real Madrid,Athletic Bilbao,0,6,,,,,,,,,,,,,,
1930/31,1931-01-18,Real Union,FC Barcelona,1,1,,,,,,,,,,,,,,
1930/31,1931-01-25,Athletic Bilbao,Espanyol Barcelona,5,1,,,,,,,,,,,,,,
1930/31,1931-01-25,CE Europa,Arenas de Getxo,1,4,,,,,,,,,,,,,,
1930/31,1931-01-25,FC Barcelona,CD Alaves,1,1,,,,,,,,,,,,,,
1930/31,1931-01-25,Racing Santander,Real Union,4,1,,,,,,,,,,,,,,
1930/31,1931-01-25,Real Sociedad,Real Madrid,2,1,,,,,,,,,,,,,,
1930/31,1931-01-27,Real Union,Real Madrid,1,1,,,,,,,,,,,,,,
1930/31,1931-02-01,Arenas de Getxo,Racing Santander,4,2,,,,,,,,,,,,,,
1930/31,1931-02-01,CD Alaves,CE Europa,2,0,,,,,,,,,,,,,,
1930/31,1931-02-01,Espanyol Barcelona,Real Sociedad,1,0,,,,,,,,,,,,,,
1930/31,1931-02-01,Real Madrid,FC Barcelona,0,0,,,,,,,,,,,,,,
1930/31,1931-02-01,Real Union,Athletic Bilbao,2,3,,,,,,,,,,,,,,
1930/31,1931-02-08,Athletic Bilbao,FC Barcelona,12,1,,,,,,,,,,,,,,
1930/31,1931-02-08,CD Alaves,Real Sociedad,1,2,,,,,,,,,,,,,,
1930/31,1931-02-08,CE Europa,Racing Santander,1,2,,,,,,,,,,,,,,
1930/31,1931-02-08,Espanyol Barcelona,Real Madrid,1,1,,,,,,,,,,,,,,
1930/31,1931-02-08,Real Union,Arenas de Getxo,2,2,,,,,,,,,,,,,,
1930/31,1931-02-15,Arenas de Getxo,CD Alaves,1,1,,,,,,,,,,,,,,
1930/31,1931-02-15,FC Barcelona,CE Europa,0,2,,,,,,,,,,,,,,
1930/31,1931-02-15,Racing Santander,Espanyol Barcelona,4,0,,,,,,,,,,,,,,
1930/31,1931-02-15,Real Madrid,Real Union,3,0,,,,,,,,,,,,,,
1930/31,1931-02-15,Real Sociedad,Athletic Bilbao,1,0,,,,,,,,,,,,,,
1930/31,1931-02-22,Athletic Bilbao,Racing Santander,7,1,,,,,,,,,,,,,,
1930/31,1931-02-22,Espanyol Barcelona,CD Alaves,2,0,,,,,,,,,,,,,,
1930/31,1931-02-22,FC Barcelona,Real Sociedad,5,1,,,,,,,,,,,,,,
1930/31,1931-02-22,Real Madrid,Arenas de Getxo,1,2,,,,,,,,,,,,,,
1930/31,1931-02-22,Real Union,CE Europa,4,3,,,,,,,,,,,,,,
1930/31,1931-03-01,Arenas de Getxo,Espanyol Barcelona,1,0,,,,,,,,,,,,,,
1930/31,1931-03-01,CD Alaves,Athletic Bilbao,1,4,,,,,,,,,,,,,,
1930/31,1931-03-01,CE Europa,Real Madrid,0,3,,,,,,,,,,,,,,
1930/31,1931-03-01,Racing Santander,FC Barcelona,0,1,,,,,,,,,,,,,,
1930/31,1931-03-01,Real Sociedad,Real Union,3,3,,,,,,,,,,,,,,
1930/31,1931-03-08,Athletic Bilbao,CE Europa,4,1,,,,,,,,,,,,,,
1930/31,1931-03-08,CD Alaves,Real Madrid,2,0,,,,,,,,,,,,,,
1930/31,1931-03-08,Espanyol Barcelona,Real Union,4,2,,,,,,,,,,,,,,
1930/31,1931-03-08,FC Barcelona,Arenas de Getxo,2,0,,,,,,,,,,,,,,
1930/31,1931-03-08,Real Sociedad,Racing Santander,4,7,,,,,,,,,,,,,,
1930/31,1931-03-14,CE Europa,Real Sociedad,2,1,,,,,,,,,,,,,,
1930/31,1931-03-15,Arenas de Getxo,Athletic Bilbao,3,2,,,,,,,,,,,,,,
1930/31,1931-03-15,Real Madrid,Racing Santander,0,0,,,,,,,,,,,,,,
1930/31,1931-03-15,Real Union,CD Alaves,4,1,,,,,,,,,,,,,,
1930/31,1931-03-17,Espanyol Barcelona,FC Barcelona,4,4,,,,,,,,,,,,,,
1930/31,1931-03-22,Athletic Bilbao,Real Madrid,2,4,,,,,,,,,,,,,,
1930/31,1931-03-22,CE Europa,Espanyol Barcelona,3,1,,,,,,,,,,,,,,
1930/31,1931-03-22,FC Barcelona,Real Union,5,3,,,,,,,,,,,,,,
1930/31,1931-03-22,Racing Santander,CD Alaves,4,0,,,,,,,,,,,,,,
1930/31,1931-03-22,Real Sociedad,Arenas de Getxo,4,1,,,,,,,,,,,,,,
1930/31,1931-03-29,Arenas de Getxo,CE Europa,1,0,,,,,,,,,,,,,,
1930/31,1931-03-29,CD Alaves,FC Barcelona,1,1,,,,,,,,,,,,,,
1930/31,1931-03-29,Espanyol Barcelona,Athletic Bilbao,0,4,,,,,,,,,,,,,,
1930/31,1931-03-29,Real Madrid,Real Sociedad,2,0,,,,,,,,,,,,,,
1930/31,1931-03-29,Real Union,Racing Santander,4,3,,,,,,,,,,,,,,
1930/31,1931-04-05,Athletic Bilbao,Real Union,1,2,,,,,,,,,,,,,,
1930/31,1931-04-05,CE Europa,CD Alaves,1,0,,,,,,,,,,,,,,
1930/31,1931-04-05,FC Barcelona,Real Madrid,3,1,,,,,,,,,,,,,,
1930/31,1931-04-05,Racing Santander,Arenas de Getxo,4,1,,,,,,,,,,,,,,
1930/31,1931-04-05,Real Sociedad,Espanyol Barcelona,2,1,,,,,,,,,,,,,,
1931/32,1931-11-22,Arenas de Getxo,Real Sociedad,2,1,,,,,,,,,,,,,,
1931/32,1931-11-22,CD Alaves,Racing Santander,1,2,,,,,,,,,,,,,,
1931/32,1931-11-22,Espanyol Barcelona,Valencia CF,3,0,,,,,,,,,,,,,,
1931/32,1931-11-22,Real Madrid,Athletic Bilbao,1,1,,,,,,,,,,,,,,
1931/32,1931-11-22,Real Union,FC Barcelona,1,3,,,,,,,,,,,,,,
1931/32,1931-11-29,Athletic Bilbao,CD Alaves,3,2,,,,,,,,,,,,,,
1931/32,1931-11-29,FC Barcelona,Arenas de Getxo,2,2,,,,,,,,,,,,,,
1931/32,1931-11-29,Racing Santander,Espanyol Barcelona,2,1,,,,,,,,,,,,,,
1931/32,1931-11-29,Real Sociedad,Real Madrid,1,2,,,,,,,,,,,,,,
1931/32,1931-11-29,Valencia CF,Real Union,5,1,,,,,,,,,,,,,,
1931/32,1931-12-20,Arenas de Getxo,Racing Santander,3,1,,,,,,,,,,,,,,
1931/32,1931-12-20,CD Alaves,Real Sociedad,1,2,,,,,,,,,,,,,,
1931/32,1931-12-20,Espanyol Barcelona,FC Barcelona,0,3,,,,,,,,,,,,,,
1931/32,1931-12-20,Real Union,Athletic Bilbao,1,5,,,,,,,,,,,,,,
1931/32,1931-12-20,Valencia CF,Real Madrid,1,1,,,,,,,,,,,,,,
1931/32,1931-12-27,Athletic Bilbao,FC Barcelona,3,0,,,,,,,,,,,,,,
1931/32,1931-12-27,Espanyol Barcelona,Arenas de Getxo,4,2,,,,,,,,,,,,,,
1931/32,1931-12-27,Racing Santander,Real Union,2,2,,,,,,,,,,,,,,
1931/32,1931-12-27,Real Madrid,CD Alaves,5,0,,,,,,,,,,,,,,
1931/32,1931-12-27,Real Sociedad,Valencia CF,7,1,,,,,,,,,,,,,,
1931/32,1932-01-03,Arenas de Getxo,Real Madrid,2,2,,,,,,,,,,,,,,
1931/32,1932-01-03,FC Barcelona,Racing Santander,4,2,,,,,,,,,,,,,,
1931/32,1932-01-03,Real Sociedad,Real Union,5,0,,,,,,,,,,,,,,
1931/32,1932-01-03,Valencia CF,Athletic Bilbao,0,0,,,,,,,,,,,,,,
1931/32,1932-01-06,CD Alaves,Espanyol Barcelona,4,1,,,,,,,,,,,,,,
1931/32,1932-01-10,Athletic Bilbao,Real Sociedad,5,1,,,,,,,,,,,,,,
1931/32,1932-01-10,FC Barcelona,CD Alaves,6,0,,,,,,,,,,,,,,
1931/32,1932-01-10,Racing Santander,Valencia CF,4,1,,,,,,,,,,,,,,
1931/32,1932-01-10,Real Madrid,Espanyol Barcelona,3,0,,,,,,,,,,,,,,
1931/32,1932-01-10,Real Union,Arenas de Getxo,1,0,,,,,,,,,,,,,,
1931/32,1932-01-17,Arenas de Getxo,CD Alaves,4,2,,,,,,,,,,,,,,
